Version;Filename;LOC_touched;LOC_added;MAXLOC_added;AVGLOC_added;churn;MAX_churn;AVG_churn;Change_setsize;MAXChange_setsize;AVGChange_setsize;Buggy
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnReferenceExpr.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnReferenceExpr.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/CommonSubquery.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/CommonSubquery.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/CommonSubquery.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/CommonSubquery.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/CommonSubquery.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/CountRowsFunctionExpr.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/CountRowsFunctionExpr.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/CountRowsFunctionExpr.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/CountRowsFunctionExpr.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/CountRowsFunctionExpr.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateDatabase.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateDatabase.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateDatabase.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateDatabase.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateDatabase.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateIndex.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateIndex.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateIndex.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateIndex.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateIndex.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateTable.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateTable.java;26;14;8;7;2;2;1;37;23;18;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateTable.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateTable.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateTable.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/DataTypeExpr.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/DataTypeExpr.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/DataTypeExpr.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/DataTypeExpr.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/DataTypeExpr.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/DateLiteral.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/DateLiteral.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/DateLiteral.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/DateLiteral.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/DateLiteral.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/DateValue.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/DateValue.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/DateValue.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/DateValue.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/DateValue.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropDatabase.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropDatabase.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropDatabase.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropDatabase.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropDatabase.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropIndex.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropIndex.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropIndex.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropIndex.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropIndex.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropTable.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropTable.java;2;1;1;1;0;0;0;14;14;14;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/DropTable.java;0;0;0;0;0;0;0;0;0;0;no
