Dataset,#TrainingRelease,%training,%Defective in Training,%Defective in Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
bookkeeper,5,0.8333333333333334,0.013025011798017933,0.009438414346389807,IBk,No Sampling,No Feature Selection,19.0,0.0,2099.0,1.0,1.0,0.95,0.975,0.9741209804472342
bookkeeper,5,0.8333333333333334,0.013025011798017933,0.009438414346389807,NaiveBayes,No Sampling,No Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.9691162458313483,0.0
bookkeeper,5,0.8333333333333334,0.013025011798017933,0.009438414346389807,RandomForest,No Sampling,No Feature Selection,19.0,0.0,2099.0,1.0,1.0,0.95,0.9646498332539304,0.9741209804472342
bookkeeper,5,0.8333333333333334,0.013025011798017933,0.009438414346389807,IBk,No Sampling,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,5,0.8333333333333334,0.013025011798017933,0.009438414346389807,NaiveBayes,No Sampling,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,5,0.8333333333333334,0.013025011798017933,0.009438414346389807,RandomForest,No Sampling,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,5,0.11524008350730688,0.5,0.009438414346389807,IBk,UnderSampling,No Feature Selection,19.0,29.0,2070.0,1.0,0.3958333333333333,0.95,0.9696998570747976,0.5528655431449241
bookkeeper,5,0.11524008350730688,0.5,0.009438414346389807,NaiveBayes,UnderSampling,No Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.9707360647927584,0.0
bookkeeper,5,0.11524008350730688,0.5,0.009438414346389807,RandomForest,UnderSampling,No Feature Selection,19.0,40.0,2059.0,1.0,0.3220338983050847,0.95,0.9756788947117675,0.47359141061917825
bookkeeper,5,0.11524008350730688,0.5,0.009438414346389807,IBk,UnderSampling,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,5,0.11524008350730688,0.5,0.009438414346389807,NaiveBayes,UnderSampling,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,5,0.11524008350730688,0.5,0.009438414346389807,RandomForest,UnderSampling,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,IBk,SMOTE,No Feature Selection,19.0,0.0,2099.0,1.0,1.0,0.95,0.975,0.9741209804472342
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,NaiveBayes,SMOTE,No Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.9676036207717961,0.0
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,RandomForest,SMOTE,No Feature Selection,19.0,0.0,2099.0,1.0,1.0,0.95,0.9814911862791805,0.9741209804472342
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,IBk,SMOTE,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,NaiveBayes,SMOTE,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,RandomForest,SMOTE,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,IBk,OverSampling,No Feature Selection,19.0,7.0,2092.0,1.0,0.7307692307692307,0.95,0.9622915674130539,0.8242113777298441
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,NaiveBayes,OverSampling,No Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.9893639828489758,0.0
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,RandomForest,OverSampling,No Feature Selection,19.0,10.0,2089.0,1.0,0.6551724137931034,0.95,0.9991186279180562,0.772973867986094
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,IBk,OverSampling,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,NaiveBayes,OverSampling,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,5,0.9080015629748621,0.5,0.009438414346389807,RandomForest,OverSampling,Feature Selection,0.0,0.0,2099.0,20.0,0.0,0.0,0.5,0.0
bookkeeper,6,0.8571428571428571,0.012427245556079911,0.004719207173194903,IBk,No Sampling,No Feature Selection,2.0,14.0,2095.0,8.0,0.125,0.2,0.5966808914177335,0.14890276408515143
bookkeeper,6,0.8571428571428571,0.012427245556079911,0.004719207173194903,NaiveBayes,No Sampling,No Feature Selection,4.0,83.0,2026.0,6.0,0.04597701149425287,0.4,0.7730678046467521,0.07464070695720905
bookkeeper,6,0.8571428571428571,0.012427245556079911,0.004719207173194903,RandomForest,No Sampling,No Feature Selection,2.0,12.0,2097.0,8.0,0.14285714285714285,0.2,0.7663821716453295,0.16205314773805315
bookkeeper,6,0.8571428571428571,0.012427245556079911,0.004719207173194903,IBk,No Sampling,Feature Selection,3.0,71.0,2038.0,7.0,0.04054054054054054,0.3,0.5882645803698435,0.06364295587935408
